Day	Rain	EP	Psi	TPD	Zrt	A1	A2	A3	A4
134.0	0.000000e+00	5.682787e-08	-4.325616e+03	9.607319e-09	4.848609e-01	-0.1	-0.25	-1.100000e+01	-152.85
135.0	2.939815e-09	2.606522e-08	-3.103014e+03	4.802836e-09	5.043184e-01	-0.1	-0.25	-1.100000e+01	-152.85
136.0	0.000000e+00	5.607624e-08	-8.554952e+03	1.125014e-08	5.235628e-01	-0.1	-0.25	-1.100000e+01	-152.85
137.0	0.000000e+00	7.191958e-08	-7.044507e+03	1.568459e-08	5.425550e-01	-0.1	-0.25	-1.046728e+01	-152.85
138.0	0.000000e+00	8.984400e-08	-6.924445e+03	2.127868e-08	5.612582e-01	-0.1	-0.25	-9.742283e+00	-152.85
139.0	0.000000e+00	8.047036e-08	-6.653627e+03	2.066390e-08	5.796377e-01	-0.1	-0.25	-9.821959e+00	-152.85
140.0	0.000000e+00	6.187594e-08	-6.957861e+03	1.720971e-08	5.976619e-01	-0.1	-0.25	-1.026962e+01	-152.85
141.0	0.000000e+00	5.988891e-08	-8.009105e+03	1.801618e-08	6.153014e-01	-0.1	-0.25	-1.016510e+01	-152.85
142.0	0.000000e+00	6.035432e-08	-7.597525e+03	1.961096e-08	6.325301e-01	-0.1	-0.25	-9.958420e+00	-152.85
143.0	0.000000e+00	5.203159e-08	-7.474251e+03	1.823462e-08	6.493248e-01	-0.1	-0.25	-1.013679e+01	-152.85
144.0	9.108796e-09	6.295983e-08	-9.904342e+03	2.376471e-08	6.656655e-01	-0.1	-0.25	-9.420094e+00	-152.85
145.0	4.909722e-08	2.362628e-08	-2.522089e+03	9.591313e-09	6.815349e-01	-0.1	-0.25	-1.100000e+01	-152.85
146.0	0.000000e+00	3.029918e-08	-3.858894e+03	1.320777e-08	6.969191e-01	-0.1	-0.25	-1.078827e+01	-152.85
147.0	0.000000e+00	4.748315e-08	-4.787536e+03	2.219278e-08	7.118070e-01	-0.1	-0.25	-9.623816e+00	-152.85
148.0	0.000000e+00	5.603958e-08	-8.151186e+03	2.803449e-08	7.261903e-01	-0.1	-0.25	-8.866730e+00	-152.85
149.0	0.000000e+00	4.999793e-08	-6.486490e+03	2.672661e-08	7.400635e-01	-0.1	-0.25	-9.036231e+00	-152.85
150.0	0.000000e+00	5.279711e-08	-8.833460e+03	3.010798e-08	7.534238e-01	-0.1	-0.25	-8.598006e+00	-152.85
151.0	0.000000e+00	7.700243e-08	-8.958096e+03	4.675915e-08	7.662707e-01	-0.1	-0.25	-6.440014e+00	-152.85
152.0	0.000000e+00	3.287600e-08	-5.610772e+03	2.122122e-08	7.786060e-01	-0.1	-0.25	-9.749729e+00	-152.85
153.0	0.000000e+00	4.781345e-08	-7.040782e+03	3.274210e-08	7.904335e-01	-0.1	-0.25	-8.256624e+00	-152.85
154.0	0.000000e+00	4.720442e-08	-7.769352e+03	3.423077e-08	8.017590e-01	-0.1	-0.25	-8.063692e+00	-152.85
155.0	0.000000e+00	6.041411e-08	-8.129240e+03	4.629886e-08	8.125899e-01	-0.1	-0.25	-6.499668e+00	-152.85
156.0	0.000000e+00	3.787784e-08	-6.559416e+03	3.061753e-08	8.229351e-01	-0.1	-0.25	-8.531968e+00	-152.85
157.0	1.408218e-07	7.941836e-09	-1.969227e+03	6.757238e-09	8.328048e-01	-0.1	-0.25	-1.100000e+01	-152.85
158.0	3.674769e-08	6.056468e-09	-9.595448e+02	5.413439e-09	8.422104e-01	-0.1	-0.25	-1.100000e+01	-152.85
159.0	3.380787e-08	1.897107e-08	-2.326342e+03	1.777661e-08	8.511642e-01	-0.1	-0.25	-1.019615e+01	-152.85
