depth	theta
0.0125	0.341
0.0375	0.336
0.0625	0.333
0.0875	0.33
0.1125	0.329
0.1375	0.329
0.1625	0.33
0.1875	0.332
0.2125	0.334
0.2375	0.337
0.2625	0.34
0.2875	0.344
0.3125	0.348
0.3375	0.352
0.3625	0.356
0.3875	0.361
0.4125	0.365
0.4375	0.369
0.4625	0.373
0.4875	0.376
0.5125	0.379
0.5375	0.381
0.5625	0.383
0.5875	0.385
0.6125	0.385
0.6375	0.386
0.6625	0.386
0.6875	0.385
0.7125	0.384
0.7375	0.382
0.7625	0.381
0.7875	0.379
0.8125	0.377
0.8375	0.375
0.8625	0.373
0.8875	0.372
0.9125	0.37
0.9375	0.369
0.9625	0.369
0.9875	0.368
1.0125	0.368
1.0375	0.369
1.0625	0.37
1.0875	0.372
1.1125	0.374
1.1375	0.376
1.1625	0.379
1.1875	0.382
1.2125	0.386
1.2375	0.39
1.2625	0.394
1.2875	0.399
1.3125	0.405
1.3375	0.41
1.3625	0.416
1.3875	0.422
1.4125	0.428
1.4375	0.428
1.4625	0.428
1.4875	0.428
1.5125	0.428
1.5375	0.428
1.5625	0.428
1.5875	0.428
1.6125	0.428
1.6375	0.428
1.6625	0.428
1.6875	0.428
1.7125	0.428
1.7375	0.428
1.7625	0.428
1.7875	0.428
1.8125	0.428
1.8375	0.428
1.8625	0.428
1.8875	0.428
1.9125	0.428
1.9375	0.428
1.9625	0.428
1.9875	0.428
2.0125	0.428
2.0375	0.428
2.0625	0.428
2.0875	0.428
2.1125	0.428
2.1375	0.428
2.1625	0.428
2.1875	0.428
2.2125	0.428
2.2375	0.428
2.2625	0.428
2.2875	0.428
2.3125	0.428
2.3375	0.428
2.3625	0.428
2.3875	0.428
2.4125	0.428
2.4375	0.428
2.4625	0.428
2.4875	0.428
2.5125	0.428
2.5375	0.428
2.5625	0.428
2.5875	0.428
2.6125	0.428
2.6375	0.428
2.6625	0.428
2.6875	0.428
2.7125	0.428
2.7375	0.428
2.7625	0.428
2.7875	0.428
2.8125	0.428
2.8375	0.428
2.8625	0.428
2.8875	0.428
2.9125	0.428
2.9375	0.428
2.9625	0.428
2.9875	0.428
